tweet_id,Text,created_at,cleaned_text,tokens,processed_tokens,final_text,is_relevant,similarity_score,is_semantically_relevant,is_relevant_keyword,is_relevant_similarity
1659875373964996611,@IwriteOK get bikini season ready with cholera!,2023-05-20 10:55:02+00:00,get bikini season ready with cholera,"['get', 'bikini', 'season', 'ready', 'with', 'cholera']","['get', 'bikini', 'season', 'ready', 'cholera']",get bikini season ready cholera,True,0.5818053,True,False,True
1659873474863570944,HEALTH OFFICIALS are on high alert following a cholera outbreak in Kirinyaga County. #NTVAtOne https://t.co/Otw0lim2Ms,2023-05-20 10:47:30+00:00,health officials are on high alert following a cholera outbreak in kirinyaga county,"['health', 'officials', 'are', 'on', 'high', 'alert', 'following', 'a', 'cholera', 'outbreak', 'in', 'kirinyaga', 'county']","['health', 'official', 'high', 'alert', 'following', 'cholera', 'outbreak', 'kirinyaga', 'county']",health official high alert following cholera outbreak kirinyaga county,True,0.5120981,True,False,True
1659873386410000384,@sympatheticopp Googling the cure for cholera and transmission methods...,2023-05-20 10:47:08+00:00,googling the cure for cholera and transmission methods,"['googling', 'the', 'cure', 'for', 'cholera', 'and', 'transmission', 'methods']","['googling', 'cure', 'cholera', 'transmission', 'method']",googling cure cholera transmission method,True,0.59608144,True,False,True
1659867605388369921,"""UN raises alarm as cholera threatens one billion people from Nigeria, 42 countries https://t.co/Ce39bW5rXDâ Peoples Gazette (@GazetteNGR) May 20, 2023 https://t.co/mYdwECR0SL",2023-05-20 10:24:10+00:00,un raises alarm as cholera threatens one billion people from nigeria countries peoples gazette may,"['un', 'raises', 'alarm', 'as', 'cholera', 'threatens', 'one', 'billion', 'people', 'from', 'nigeria', 'countries', 'peoples', 'gazette', 'may']","['un', 'raise', 'alarm', 'cholera', 'threatens', 'one', 'billion', 'people', 'nigeria', 'country', 'people', 'gazette', 'may']",un raise alarm cholera threatens one billion people nigeria country people gazette may,True,0.5063437,True,False,True
1659864290881306625,"UN raises alarm as cholera threatens one billion people from Nigeria, 42 countries https://t.co/xRtrr7uJQN",2023-05-20 10:11:00+00:00,un raises alarm as cholera threatens one billion people from nigeria countries,"['un', 'raises', 'alarm', 'as', 'cholera', 'threatens', 'one', 'billion', 'people', 'from', 'nigeria', 'countries']","['un', 'raise', 'alarm', 'cholera', 'threatens', 'one', 'billion', 'people', 'nigeria', 'country']",un raise alarm cholera threatens one billion people nigeria country,True,0.5143126,True,False,True
1659862169842851841,"@AADudko @Comfort28738822 @Spriter99880 Ooh buddy, your sanitation looks amazing buddy ððð
You just recovered from Cholera ð https://t.co/rIMy4Y0HSy",2023-05-20 10:02:34+00:00,ooh buddy your sanitation looks amazing buddy you just recovered from cholera,"['ooh', 'buddy', 'your', 'sanitation', 'looks', 'amazing', 'buddy', 'you', 'just', 'recovered', 'from', 'cholera']","['ooh', 'buddy', 'sanitation', 'look', 'amazing', 'buddy', 'recovered', 'cholera']",ooh buddy sanitation look amazing buddy recovered cholera,True,0.50429785,True,False,True
1659854704845934592,Just IN:__100 crore people particularly children at risk of cholera worldwide: UN,2023-05-20 09:32:54+00:00,just in crore people particularly children at risk of cholera worldwide un,"['just', 'in', 'crore', 'people', 'particularly', 'children', 'at', 'risk', 'of', 'cholera', 'worldwide', 'un']","['crore', 'people', 'particularly', 'child', 'risk', 'cholera', 'worldwide', 'un']",crore people particularly child risk cholera worldwide un,True,0.51696485,True,False,True
1659854409504018439,100 crore people particularly children at risk of cholera worldwide: UN https://t.co/TiIdC1K1Tp,2023-05-20 09:31:44+00:00,crore people particularly children at risk of cholera worldwide un,"['crore', 'people', 'particularly', 'children', 'at', 'risk', 'of', 'cholera', 'worldwide', 'un']","['crore', 'people', 'particularly', 'child', 'risk', 'cholera', 'worldwide', 'un']",crore people particularly child risk cholera worldwide un,True,0.51696485,True,False,True
1659846463373860866,"One Billion People in 43 Countries Face Cholera Risk, Amid 'Bleak' Outlook: https://t.co/rpDjcmvLfS #Africa https://t.co/WNRduD18sx",2023-05-20 09:00:09+00:00,one billion people in countries face cholera risk amid 'bleak' outlook,"['one', 'billion', 'people', 'in', 'countries', 'face', 'cholera', 'risk', 'amid', ""'bleak"", ""'"", 'outlook']","['one', 'billion', 'people', 'country', 'face', 'cholera', 'risk', 'amid', ""'bleak"", ""'"", 'outlook']",one billion people country face cholera risk amid 'bleak ' outlook,True,0.6045613,True,False,True
1659846439919312897,"Cholera is an acute diarrheal illness caused by the bacterium Vibrio cholerae. It is primarily transmitted through the ingestion of contaminated food or water. Symptoms, causes, effects, treatment and prevention of cholera.  What is cholera? https://t.co/ZqezhqmPex",2023-05-20 09:00:04+00:00,cholera is an acute diarrheal illness caused by the bacterium vibrio cholerae it is primarily transmitted through the ingestion of contaminated food or water symptoms causes effects treatment and prevention of cholera what is cholera,"['cholera', 'is', 'an', 'acute', 'diarrheal', 'illness', 'caused', 'by', 'the', 'bacterium', 'vibrio', 'cholerae', 'it', 'is', 'primarily', 'transmitted', 'through', 'the', 'ingestion', 'of', 'contaminated', 'food', 'or', 'water', 'symptoms', 'causes', 'effects', 'treatment', 'and', 'prevention', 'of', 'cholera', 'what', 'is', 'cholera']","['cholera', 'acute', 'diarrheal', 'illness', 'caused', 'bacterium', 'vibrio', 'cholerae', 'primarily', 'transmitted', 'ingestion', 'contaminated', 'food', 'water', 'symptom', 'cause', 'effect', 'treatment', 'prevention', 'cholera', 'cholera']",cholera acute diarrheal illness caused bacterium vibrio cholerae primarily transmitted ingestion contaminated food water symptom cause effect treatment prevention cholera cholera,True,0.6605182,True,False,True
1659846430755016704,"One billion people in 43 countries face cholera risk, amid 'bleak' outlook. Watch video!
https://t.co/NBjIjNOXy6",2023-05-20 09:00:02+00:00,one billion people in countries face cholera risk amid 'bleak' outlook watch video,"['one', 'billion', 'people', 'in', 'countries', 'face', 'cholera', 'risk', 'amid', ""'bleak"", ""'"", 'outlook', 'watch', 'video']","['one', 'billion', 'people', 'country', 'face', 'cholera', 'risk', 'amid', ""'bleak"", ""'"", 'outlook', 'watch', 'video']",one billion people country face cholera risk amid 'bleak ' outlook watch video,True,0.5647861,True,False,True
1659845810660442112,"One billion people from Nigeria, 42 nations face cholera risk â UN https://t.co/Mgvi3vJ43b",2023-05-20 08:57:34+00:00,one billion people from nigeria nations face cholera risk un,"['one', 'billion', 'people', 'from', 'nigeria', 'nations', 'face', 'cholera', 'risk', 'un']","['one', 'billion', 'people', 'nigeria', 'nation', 'face', 'cholera', 'risk', 'un']",one billion people nigeria nation face cholera risk un,True,0.52869534,True,False,True
1659844355954446337,"One billion people in 43 countries face cholera risk, amid 'bleak' outlo... https://t.co/uv2TYRkS70 @YouTubeãã",2023-05-20 08:51:47+00:00,one billion people in countries face cholera risk amid 'bleak' outlo,"['one', 'billion', 'people', 'in', 'countries', 'face', 'cholera', 'risk', 'amid', ""'bleak"", ""'"", 'outlo']","['one', 'billion', 'people', 'country', 'face', 'cholera', 'risk', 'amid', ""'bleak"", ""'"", 'outlo']",one billion people country face cholera risk amid 'bleak ' outlo,True,0.5792374,True,False,True
1659844175120986112,@JohnRentoul Are you in the pocket of big cholera or something?,2023-05-20 08:51:04+00:00,are you in the pocket of big cholera or something,"['are', 'you', 'in', 'the', 'pocket', 'of', 'big', 'cholera', 'or', 'something']","['pocket', 'big', 'cholera', 'something']",pocket big cholera something,True,0.5415908,True,False,True
1659841867637301248,"1bn people from Nigeria, 42 countries face cholera risk â UN agencies https://t.co/BwkQytX9v5",2023-05-20 08:41:54+00:00,bn people from nigeria countries face cholera risk un agencies,"['bn', 'people', 'from', 'nigeria', 'countries', 'face', 'cholera', 'risk', 'un', 'agencies']","['bn', 'people', 'nigeria', 'country', 'face', 'cholera', 'risk', 'un', 'agency']",bn people nigeria country face cholera risk un agency,True,0.5150005,True,False,True
1659837823627800576,One billion threatened by cholera: UN One billion threatened by chol #healthcare #healthcarenews https://t.co/bQVF8en8Qi,2023-05-20 08:25:50+00:00,one billion threatened by cholera un one billion threatened by chol,"['one', 'billion', 'threatened', 'by', 'cholera', 'un', 'one', 'billion', 'threatened', 'by', 'chol']","['one', 'billion', 'threatened', 'cholera', 'un', 'one', 'billion', 'threatened', 'chol']",one billion threatened cholera un one billion threatened chol,True,0.54441607,True,False,True
1659836231780278273,"One billion people at risk of cholera, UN warns https://t.co/hjDoNF14fT via @FRANCE24",2023-05-20 08:19:30+00:00,one billion people at risk of cholera un warns via,"['one', 'billion', 'people', 'at', 'risk', 'of', 'cholera', 'un', 'warns', 'via']","['one', 'billion', 'people', 'risk', 'cholera', 'un', 'warns', 'via']",one billion people risk cholera un warns via,True,0.54704666,True,False,True
